place_id,name,latitude,longitude,address,street,house_number,postal_code,locality,province,country,city,city_out_of_area,rating,review_count,has_rating,low_review,primary_type,types,category_tier,is_dining,is_operational,business_status,photo_count,price_level,has_website,has_phone,website,phone,flags
ChIJ--B9MpPAhkcR5i3IsaONCho,In Piazza,45.516703899999996,9.1692377,"Via Gaetano Osculati, 2, 20161 Milano MI, Italy",Via Gaetano Osculati,2,20161,Milano,MI,Italy,Milano,0,4.2,549,1,0,restaurant,"['restaurant', 'pizza_restaurant', 'point_of_interest', 'food', 'establishment']",restaurant,1,1,OPERATIONAL,10,PRICE_LEVEL_INEXPENSIVE,1,1,inpiazzaaffori.it,+39026456224,[]
ChIJ--FgqyPEhkcRvMQokYnY_hc,Bar Chez Yvonne,45.4499657,9.2053185,"Via Gian Carlo Passeroni, 2, 20135 Milano MI, Italy",Via Gian Carlo Passeroni,2,20135,Milano,MI,Italy,Milano,0,4.0,13,1,0,bar,"['bar', 'point_of_interest', 'establishment']",cafe_bar_bakery,1,1,OPERATIONAL,2,,0,0,,,[]
ChIJ--WLjaHHhkcRTqreuOxTDPI,Bene Bene Bar,45.479417399999996,9.212978999999999,"Via Giovanni Battista Morgagni, 31, 20129 Milano MI, Italy",Via Giovanni Battista Morgagni,31,20129,Milano,MI,Italy,Milano,0,4.2,65,1,0,bar,"['bar', 'point_of_interest', 'establishment']",cafe_bar_bakery,1,1,OPERATIONAL,10,,1,1,bene-bene.it,+390283969617,[]
ChIJ--hJgarGhkcRlx_nRyH0fUg,Disciplini Cafè,45.458626599999995,9.184635799999999,"Via Disciplini, Piazza Salvatore Quasimodo, 17, 20123 Milano MI, Italy",Piazza Salvatore Quasimodo,17,20123,Milano,MI,Italy,Milano,0,4.3,173,1,0,cafe,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",cafe_bar_bakery,1,1,OPERATIONAL,10,PRICE_LEVEL_MODERATE,0,1,,+390236561001,[]
ChIJ--uBcADBhkcRX4R91EC9bas,Livello me,45.4684537,9.1813624,"Via Luca Beltrami, 1, 20121 Milano MI, Italy",Via Luca Beltrami,1,20121,Milano,MI,Italy,Milano,0,,,0,0,fast_food_restaurant,"['fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,1,1,OPERATIONAL,1,,0,0,,,[]
ChIJ--yJqnvIhkcR2K5lCvjI_Fs,Il faro,45.494433199999996,9.295496,"Via Edmondo de Amicis, 9, 20090 Segrate MI, Italy",Via Edmondo de Amicis,9,20090,Segrate,MI,Italy,Segrate,0,3.9,120,1,0,pizza_restaurant,"['pizza_restaurant', 'kebab_shop', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,1,1,OPERATIONAL,10,PRICE_LEVEL_INEXPENSIVE,0,1,,+390239810220,[]
ChIJ-02QyoXPhkcRxEn2tsz74vA,Number One Di Marasca Pasquale,45.406718999999995,9.2655894,"Via G. di Vittorio, 1, 20097 San Donato Milanese MI, Italy",Via G. di Vittorio,1,20097,San Donato Milanese,MI,Italy,San Donato Milanese,0,4.3,9,1,1,sandwich_shop,"['sandwich_shop', 'restaurant', 'food', 'point_of_interest', 'establishment']",cafe_bar_bakery,1,1,OPERATIONAL,3,,0,0,,,['low_review']
ChIJ-0K5nvjBhkcRU3qIjVTKBs8,Stravagario Bistrot,45.4883586,9.1895548,"Via Garigliano, 3, 20159 Milano MI, Italy",Via Garigliano,3,20159,Milano,MI,Italy,Milano,0,4.4,187,1,0,restaurant,"['wine_bar', 'bistro', 'mediterranean_restaurant', 'vegetarian_restaurant', 'italian_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,1,1,OPERATIONAL,10,,1,1,stravagariobistrot.it,+390266801622,[]
ChIJ-0Lau7XBhkcRkKWuJcmHdwY,Bar Baffo Tabacchi Tavola Fredda,45.512587,9.1578836,"Via Dante Chiasserini, 14, 20157 Milano MI, Italy",Via Dante Chiasserini,14,20157,Milano,MI,Italy,Milano,0,4.6,50,1,0,bar,"['sandwich_shop', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",cafe_bar_bakery,1,1,OPERATIONAL,4,,0,1,,+393201832520,[]
ChIJ-0MjfADHhkcRe4KeIoQ8_xM,Osteria La Sirenella 3.0,45.514967399999996,9.207258999999999,"Viale Rodi, 84, 20126 Milano MI, Italy",Viale Rodi,84,20126,Milano,MI,Italy,Milano,0,4.4,103,1,0,italian_restaurant,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,1,1,OPERATIONAL,10,,1,1,osteria-la-sirenella-30.eatbu.com/?lang=en,+390225568069,[]
