source_id,source,tf_id,restaurant_url,restaurant_name,latitude,longitude,address,street,house_number,postal_code,city,rating,review_count,has_rating,has_review_count,low_review,avg_price_eur,discount_pct,has_discount,cuisines,dietary_options,has_hours,photo_count,has_reviews,sample_size,sample_avg_rating,rating_sample_divergent,flags
10-corso-como-cafe-r713504,thefork,713504,https://www.thefork.it/ristorante/10-corso-como-cafe-r713504,10 Corso Como Cafe,45.481942,9.187517,"Corso Como, 10, Milano, 20154, Italia",Corso Como,10,20154,Milano,8.8,535,1,1,0,50,,0,['Cucina locale'],[],1,45,1,5,7.2,1,['rating_sample_divergent']
21-house-of-stories-citta-studi-r703801,thefork,703801,https://www.thefork.it/ristorante/21-house-of-stories-citta-studi-r703801,21 House of Stories Città Studi,45.4783095,9.220386,"Via Enrico Nöe, 24, Milano, 20133, Italia",Via Enrico Nöe,24,20133,Milano,8.8,393,1,1,0,25,20,1,['Mediterraneo'],[],1,45,1,5,8.7,0,[]
55-milano-r77866,thefork,77866,https://www.thefork.it/ristorante/55-milano-r77866,55 Milano,45.485225,9.1759123,"Via Piero della Francesca, 55, Milano, 20145, Italia",Via Piero della Francesca,55,20145,Milano,6.6,46,1,1,0,40,,1,['Mediterraneo'],[],1,14,1,5,5.2,1,['rating_sample_divergent']
aki-me-kedo-r335551,thefork,335551,https://www.thefork.it/ristorante/aki-me-kedo-r335551,Aki Me Kedo,45.4961416,9.2176548,"Via Ottavio Rinuccini, 1, Milano, 20125, Italia",Via Ottavio Rinuccini,1,20125,Milano,8.1,261,1,1,0,24,20,1,['Peruviano'],[],1,41,1,5,9.6,1,['rating_sample_divergent']
al-baraka-griglieria-r838273,thefork,838273,https://www.thefork.it/ristorante/al-baraka-griglieria-r838273,Al Baraka Griglieria,45.4912767,9.1528639,"Viale Monte Ceneri, 68, Milano, 20155, Italia",Viale Monte Ceneri,68,20155,Milano,8.0,6,1,1,1,16,,0,['Di Carne'],[],0,4,1,3,6.67,1,"['low_review', 'rating_sample_divergent']"
al-fresco-r478383,thefork,478383,https://www.thefork.it/ristorante/al-fresco-r478383,Al Fresco,45.4539761,9.1630496,"Via Savona, 50, Milano, 20144, Italia",Via Savona,50,20144,Milano,9.3,2082,1,1,0,40,30,1,['Mediterraneo'],[],1,16,1,5,9.8,0,[]
al-magna-magna-r820307,thefork,820307,https://www.thefork.it/ristorante/al-magna-magna-r820307,Al Magna Magna,45.47299824255866,9.224077047989265,"Largo Rio de Janeiro, Milano, 20133, Italia",Largo Rio de Janeiro,,20133,Milano,8.5,134,1,1,0,20,,0,['Pizzeria'],[],1,22,1,5,7.7,0,[]
al-mercante-r201906,thefork,201906,https://www.thefork.it/ristorante/al-mercante-r201906,Al Mercante,45.463718,9.186287,"Via Cesare Cantù, 7, Milano, 20123, Italia",Via Cesare Cantù,7,20123,Milano,8.6,436,1,1,0,40,,0,['Di Carne'],[],1,44,1,5,7.6,0,[]
al-toscanaccio-trattoria-r67999,thefork,67999,https://www.thefork.it/ristorante/al-toscanaccio-trattoria-r67999,Al Toscanaccio - Trattoria,45.4845653,9.1625785,"Via Piero della Francesca, 46, Milano, 20154, Italia",Via Piero della Francesca,46,20154,Milano,9.0,641,1,1,0,25,,0,['Toscano'],[],1,40,1,5,10.0,0,[]
alegre-milano-r823155,thefork,823155,https://www.thefork.it/ristorante/alegre-milano-r823155,Alegre Milano,45.4440588,9.1503,"Via Giacomo Watt, 32, Milano, 20143, Italia",Via Giacomo Watt,32,20143,Milano,9.4,79,1,1,0,43,30,1,['Cucina internazionale'],"['gluten_free', 'organic', 'vegan', 'vegetarian']",1,16,1,5,9.6,0,[]
all-american-diner-mi-r848686,thefork,848686,https://www.thefork.it/ristorante/all-american-diner-mi-r848686,All American Diner Mi,45.4358338,9.2342318,"Via Giovanni Battista Cassinis, 33, Milano, 20139, Italia",Via Giovanni Battista Cassinis,33,20139,Milano,8.6,123,1,1,0,32,,0,['Americano'],[],0,19,1,5,7.9,0,[]
america-graffiti-san-siro-r825471,thefork,825471,https://www.thefork.it/ristorante/america-graffiti-san-siro-r825471,America Graffiti - San Siro,45.48037470000001,9.123696299999999,"Via Achille, 4, Milano, 20151, Italia",Via Achille,4,20151,Milano,8.8,119,1,1,0,30,,0,['Americano'],[],1,37,1,5,9.0,0,[]
ammu-delizie-siciliane-r851841,thefork,851841,https://www.thefork.it/ristorante/ammu-delizie-siciliane-r851841,Ammu - Delizie Siciliane,45.47597680000001,9.2078986,"Piazza Santa Francesca Romana, 1, Milano, 20129, Italia",Piazza Santa Francesca Romana,1,20129,Milano,8.8,19,1,1,0,21,30,1,"['Siciliano', 'Europeo', 'Italiano']",['vegetarian'],0,16,1,5,9.3,0,[]
angelo-s-bistrot-r424367,thefork,424367,https://www.thefork.it/ristorante/angelo-s-bistrot-r424367,Angelo's bistrot,45.4529467,9.1605607,"Via Savona, 55, Milano, 20144, Italia",Via Savona,55,20144,Milano,9.1,827,1,1,0,40,20,1,['Mediterraneo'],[],1,44,1,5,7.3,1,['rating_sample_divergent']
antica-cina-restaurant-r497827,thefork,497827,https://www.thefork.it/ristorante/antica-cina-restaurant-r497827,Antica Cina Restaurant,45.4817575,9.2136551,"Via Gaspare Spontini, 6, Milano, 20129, Italia",Via Gaspare Spontini,6,20129,Milano,8.5,1487,1,1,0,25,20,1,['Cinese'],[],1,36,1,5,8.7,0,[]
antica-osteria-cavallini-r685735,thefork,685735,https://www.thefork.it/ristorante/antica-osteria-cavallini-r685735,Antica Osteria Cavallini,45.481035,9.2040606,"Via Mauro Macchi, 2, Milano, 20124, Italia",Via Mauro Macchi,2,20124,Milano,9.0,1800,1,1,0,50,,0,['Italiano'],[],1,47,1,5,6.6,1,['rating_sample_divergent']
antica-osteria-del-progresso-r824332,thefork,824332,https://www.thefork.it/ristorante/antica-osteria-del-progresso-r824332,Antica Osteria del Progresso,45.4967962,9.205191899999999,"Via del Progresso, 22, Milano, 20125, Italia",Via del Progresso,22,20125,Milano,8.4,279,1,1,0,30,,0,['Italiano'],[],1,41,1,5,9.0,0,[]
archie-s-r842592,thefork,842592,https://www.thefork.it/ristorante/archie-s-r842592,Archie’s,45.4968176,9.219722700000002,"Viale Monza, 101, Milano, 20125, Italia",Viale Monza,101,20125,Milano,4.3,5,1,1,1,24,30,1,"['Italiano', 'Peruviano', 'Europeo', 'Sudamericano']",['vegetarian'],0,32,1,2,3.25,1,"['low_review', 'rating_sample_divergent']"
ba-ba-reeba-r204833,thefork,204833,https://www.thefork.it/ristorante/ba-ba-reeba-r204833,Ba-Ba Reeba,45.4632794,9.1994467,"Via Filippo Corridoni, 1, Milano, 20122, Italia",Via Filippo Corridoni,1,20122,Milano,8.7,489,1,1,0,25,,0,['Spagnolo'],[],1,33,1,5,9.2,0,[]
ba-ghetto-milano-r377235,thefork,377235,https://www.thefork.it/ristorante/ba-ghetto-milano-r377235,Ba Ghetto Milano,45.4618696,9.1513205,"Via Sardegna, 45, Milano, 20146, Italia",Via Sardegna,45,20146,Milano,8.8,720,1,1,0,30,,0,['Romano'],[],1,39,1,5,9.1,0,[]
basara-milano-duomo-r629061,thefork,629061,https://www.thefork.it/ristorante/basara-milano-duomo-r629061,Basara - Milano Duomo,45.4649368,9.1918228,"Piazza Duomo Rinascente Food Hall, Piano 7, Milano, 20121, Italia",Piazza Duomo Rinascente Food Hall,,20121,Milano,8.2,91,1,1,0,45,,0,['Giapponese'],[],1,23,1,5,7.4,0,[]
becco-fino-r831426,thefork,831426,https://www.thefork.it/ristorante/becco-fino-r831426,Becco Fino,45.4645312,9.1393249,"Via Fra Galgario, 4, Milano, 20146, Italia",Via Fra Galgario,4,20146,Milano,8.4,51,1,1,0,20,50,1,"['Di Carne', 'Di Pesce', 'Mediterraneo', 'Pizzeria', 'Europeo', 'Italiano']","['gluten_free', 'vegetarian']",1,13,1,5,7.6,0,[]
beirut-r206333,thefork,206333,https://www.thefork.it/ristorante/beirut-r206333,Beirut,45.45258976361012,9.214951045438372,"Via Tito Livio, 1, Milano, 20137, Italia",Via Tito Livio,1,20137,Milano,9.3,556,1,1,0,27,30,1,"['Libanese', 'Orientale']","['halal', 'gluten_free', 'vegan', 'vegetarian']",0,15,1,5,9.8,0,[]
bela-tusa-trattoria-r842394,thefork,842394,https://www.thefork.it/ristorante/bela-tusa-trattoria-r842394,Bela Tusa Trattoria,45.4886129,9.189219,"Via Pietro Borsieri, 26, Milano, 20159, Italia",Via Pietro Borsieri,26,20159,Milano,9.2,257,1,1,0,31,,0,['Milanese'],[],0,46,1,5,9.6,0,[]
bice-milano-r629739,thefork,629739,https://www.thefork.it/ristorante/bice-milano-r629739,Bice Milano,45.4700642,9.1942058,"Via Borgospesso, 12, Milano, 20121, Italia",Via Borgospesso,12,20121,Milano,9.6,743,1,1,0,70,20,1,"['Italiano', 'Europeo']","['gluten_free', 'vegan', 'vegetarian']",1,14,1,5,9.8,0,[]
biga-milano-isola-r805647,thefork,805647,https://www.thefork.it/ristorante/biga-milano-isola-r805647,Biga Milano - Isola,45.48951510000001,9.187549400000002,"Via Antonio Pollaiuolo, 9, Milano, 20159, Italia",Via Antonio Pollaiuolo,9,20159,Milano,8.7,720,1,1,0,20,20,1,"['Pizzeria', 'Europeo', 'Italiano']","['gluten_free', 'vegan', 'vegetarian']",1,15,1,5,9.0,0,[]
