source,record_id,issue_type,field,value,detail
Google Places,ChIJ--FgqyPEhkcRvMQokYnY_hc,low_review_count,review_count,13,Review count is below 20; ratings are less reliable.
Google Places,ChIJ--uBcADBhkcRX4R91EC9bas,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ--uBcADBhkcRX4R91EC9bas,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ-02QyoXPhkcRxEn2tsz74vA,low_review_count,review_count,9,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-0W01oLBhkcRBtXytFYN_X0,low_review_count,review_count,5,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-0fiNZPDhkcRWFQtTvZWTmc,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ-0fiNZPDhkcRWFQtTvZWTmc,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ-0pNRLDGhkcRRTTIdThbALA,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-1C4SDTHhkcR0snM7iIXzZk,low_review_count,review_count,1,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-25z58XBhkcRLIFD2u8kyNw,low_review_count,review_count,7,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-2WsevzDhkcRrdJf_hUg-lY,low_review_count,review_count,2,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-438cFDHhkcRg0lj6Ae979U,low_review_count,review_count,6,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-4Y2WwDHhkcRZNlO9udzha0,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ-4Y2WwDHhkcRZNlO9udzha0,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ-51VDADHhkcRdWQ9cz_STDE,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-59xUCHEhkcRn1lhpdOpd8E,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-6LYm67GhkcR4j_Lk1f9b0s,missing_critical_field,rating,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ-6LYm67GhkcR4j_Lk1f9b0s,missing_critical_field,review_count,,Critical field is missing after source-specific missing-value normalization.
Google Places,ChIJ-6l-QPLDhkcR1i6TO6_vJxg,low_review_count,review_count,8,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-98sWwDFhkcRMJ4tKbsHvMk,low_review_count,review_count,3,Review count is below 20; ratings are less reliable.
Google Places,ChIJ-9fnW2vHhkcR6b2rB3g_Osc,low_review_count,review_count,4,Review count is below 20; ratings are less reliable.
