_id,source,google_id,source_id,is_chain,chain_brand,chain_hardening,google_name,source_name,google_street,source_street,google_postal_code,source_postal_code,google_phone,source_phone,google_website,source_website,score,dmin,dmax,label,block_source,fast_path,name_sim,geo_dist_m,geo_score,street_sim,phone_match,website_match,postal_code_match,cuisine_jaccard,human_label
ChIJ-2pxw03BhkcR8EqkLg3yGJY:298405,thefork,ChIJ-2pxw03BhkcR8EqkLg3yGJY,298405,False,,[],Morelli Ristorante,Ristorante Morelli,Via Aristotile Fioravanti,Via Aristotile Fioravanti,20154,20154,+390280010918,,morellimilano.it,,0.9924339599309078,0.86,0.94,MATCH,geo,,1.0,10.808628670131732,0.9783827426597366,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJ22FMNhXHhkcRbkv7Ex501wk:835653,thefork,ChIJ22FMNhXHhkcRbkv7Ex501wk,835653,False,,[],Ukiyo Izakaya,Ukiyo Izakaya,Viale Vittorio Veneto,Viale Vittorio Veneto,20124,20124,+393318266998,,social.quandoo.com/en/groups/ukiyo-izakaya-pub-106426,,0.9911451123264265,0.86,0.94,MATCH,geo,,1.0,12.64983953367627,0.9747003209326475,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJ8dFdy0HDhkcRsH0EvGJ4W64:810154,thefork,ChIJ8dFdy0HDhkcRsH0EvGJ4W64,810154,False,,[],Al Bocconcino Ristorante Pizzeria,Al Bocconcino,Via Francesco Gonin,Via Francesco Gonin,20147,20147,+393883470465,,social.quandoo.com/en/groups/al-bocconcino-ristorante-pizzeria-101520,,1.0,0.86,0.94,MATCH,geo,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJyX85UsDBhkcRCNBoDRkcvec:202381,thefork,ChIJyX85UsDBhkcRCNBoDRkcvec,202381,False,,[],La Briciola,La Briciola,Via Marsala,Via Marsala 2,20121,20121,+39026551012,,labriciola.com,,0.9526950930859631,0.86,0.94,MATCH,geo,,1.0,67.5784384486241,0.8648431231027518,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJAziHpuvHhkcRl-Trv2l_rtI:725803,thefork,ChIJAziHpuvHhkcRl-Trv2l_rtI,725803,False,,[],Andrea Aprea | Ristorante,Ristorante Andrea Aprea Milano,Corso Venezia,Corso Venezia,20122,20122,+390238273030,,andreaaprea.com/il-ristorante,,0.978908811322041,0.86,0.94,MATCH,geo,,0.9583333333333333,0.3683647780366619,0.9992632704439267,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJwV4dU-nDhkcReVm3g0XSmNo:858012,thefork,ChIJwV4dU-nDhkcReVm3g0XSmNo,858012,False,,[],Vertigo Cocktails & Pool,Vertigo,Via Tortona,Via Tortona,20144,20144,+393423687367,,nhow-hotels.com/en/nhow-milan/vertigo,,0.9526692655830816,0.86,0.94,MATCH,geo,,1.0,67.615334881312,0.864769330237376,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJJwSLNPjBhkcRpuwFYrIcC18:688613,thefork,ChIJJwSLNPjBhkcRpuwFYrIcC18,688613,False,,[],Altriménti,Altrimenti,Via Monte Bianco,Via Monte Bianco,20149,20149,+390282778751,,altrimenti.eu,,0.9402363860243844,0.86,0.94,MATCH,geo,,0.9,13.9480199651651,0.9721039600696698,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJPWhCEVDBhkcRy8qUL-vX6kA:860230,thefork,ChIJPWhCEVDBhkcRy8qUL-vX6kA,860230,False,,[],Temakinho,Temakinho Milano Cadorna - Fuego,Via Giovanni Boccaccio,Via Giovanni Boccaccio,20123,20123,+390238236561,,temakinho.it/prenota-temakinho-milano-cadorna,,0.9797538789146649,0.86,0.94,MATCH,geo,,1.0,28.92303012190716,0.9421539397561857,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJ6yUoZ6jHhkcRxI2-l8DFW4A:55224,thefork,ChIJ6yUoZ6jHhkcRxI2-l8DFW4A,55224,False,,[],L'Angolo Nascosto,L'Angolo Nascosto,Via Giovanni Battista Monteggia,Via Giovanni Battista Monteggia,20132,20132,+390226301354,,langolonascosto.com,,0.9891093170615642,0.86,0.94,MATCH,geo,,1.0,15.558118483479577,0.9688837630330408,1.0,0.0,0.0,1.0,0.0,MATCH
ChIJodhrup7HhkcRfNdx1EjIzmM:825375,thefork,ChIJodhrup7HhkcRfNdx1EjIzmM,825375,False,,[],Trujillo Ristobar,Trujillo Ristobar,Via Privata Oristano,Via Privata Oristano,20128,20128,+393931389136,,,,1.0,0.86,0.94,MATCH,geo,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,MATCH
