candidate_id,google_id,tripadvisor_id,distance_m,stored_candidate_geo_dist_m,stored_link_geo_dist_m,within_50m,within_100m,within_250m
ChIJ59ny8STDhkcRRxl4DiOClRg:27478713,ChIJ59ny8STDhkcRRxl4DiOClRg,27478713,38.2703956945122,38.2703956945122,38.2703956945122,True,True,True
ChIJP5OAlqXFhkcReyT5pb9q1nI:27195432,ChIJP5OAlqXFhkcReyT5pb9q1nI,27195432,35.16745005966939,35.16745005966939,35.16745005966939,True,True,True
ChIJNSPjSp7GhkcRyba_5vBFAo8:2436795,ChIJNSPjSp7GhkcRyba_5vBFAo8,2436795,13.551920407568199,13.551920407568199,13.551920407568199,True,True,True
ChIJ2dOXFTfBhkcRjVZUj6yw5Oc:2144872,ChIJ2dOXFTfBhkcRjVZUj6yw5Oc,2144872,2.735410084575529,2.735410084575529,2.735410084575529,True,True,True
ChIJ-WqqmWXHhkcRG498hvnpqFk:23742413,ChIJ-WqqmWXHhkcRG498hvnpqFk,23742413,4.424188008840691,4.424188008840691,4.424188008840691,True,True,True
ChIJd3o0CdTAhkcRQFsiXoSRG94:2163012,ChIJd3o0CdTAhkcRQFsiXoSRG94,2163012,11.808283862526807,11.808283862526807,11.808283862526807,True,True,True
ChIJbcWHLADFhkcRd_qjBZOTobA:29017353,ChIJbcWHLADFhkcRd_qjBZOTobA,29017353,50.160541250571534,50.160541250571534,50.160541250571534,False,True,True
ChIJyRj1GxvEhkcRltLCwJcHDPM:12438123,ChIJyRj1GxvEhkcRltLCwJcHDPM,12438123,40.45816144796457,40.45816144796457,40.45816144796457,True,True,True
ChIJy7aKwnXBhkcR-Q4bia7gsR8:27130761,ChIJy7aKwnXBhkcR-Q4bia7gsR8,27130761,15.324289796445271,15.324289796445271,15.324289796445271,True,True,True
ChIJY4JnAADBhkcRVcCgMZCo260:28654311,ChIJY4JnAADBhkcRVcCgMZCo260,28654311,5.7029960980370245,5.7029960980370245,5.7029960980370245,True,True,True
ChIJHaSMqabHhkcRy9-eiV1VrQY:16691638,ChIJHaSMqabHhkcRy9-eiV1VrQY,16691638,1.794868064560244,1.794868064560244,1.794868064560244,True,True,True
ChIJWzY3X8jHhkcRdoN0l8t44zg:27181508,ChIJWzY3X8jHhkcRdoN0l8t44zg,27181508,11.056459007958244,11.056459007958244,,True,True,True
ChIJl7OytjTBhkcRjnbwMclcNfY:13272380,ChIJl7OytjTBhkcRjnbwMclcNfY,13272380,3.8288431666642873,3.8288431666642873,3.8288431666642873,True,True,True
ChIJhQxii8vDhkcR3lryV0MyxCw:32989351,ChIJhQxii8vDhkcR3lryV0MyxCw,32989351,6.295690205018549,6.295690205018549,6.295690205018549,True,True,True
ChIJD5D9Si7HhkcRuCnvpLNqKpc:23845651,ChIJD5D9Si7HhkcRuCnvpLNqKpc,23845651,52.600653408859536,52.600653408859536,52.600653408859536,False,True,True
ChIJ_dV8_ePGhkcRvuMXr_M0Gvw:8338517,ChIJ_dV8_ePGhkcRvuMXr_M0Gvw,8338517,11.041975970468991,11.041975970468991,11.041975970468991,True,True,True
ChIJiX5-K0fBhkcRPvhDyiaVJQ8:10417586,ChIJiX5-K0fBhkcRPvhDyiaVJQ8,10417586,22.467606597099554,22.467606597099554,22.467606597099554,True,True,True
ChIJ-wAyIgDHhkcR6wxi3KNTmtM:33735525,ChIJ-wAyIgDHhkcR6wxi3KNTmtM,33735525,7.674919603446964,7.674919603446964,7.674919603446964,True,True,True
ChIJK5PFHbPHhkcRC-G_0MBWNgo:20954346,ChIJK5PFHbPHhkcRC-G_0MBWNgo,20954346,5.776321117322837,5.776321117322837,5.776321117322837,True,True,True
ChIJie1TAPnDhkcR4WZJwM2u-zE:2069193,ChIJie1TAPnDhkcR4WZJwM2u-zE,2069193,11.1477772260727,11.1477772260727,11.1477772260727,True,True,True
ChIJe2FDDtnDhkcR4f7_utXAovg:716411,ChIJe2FDDtnDhkcR4f7_utXAovg,716411,4.424845420428604,4.424845420428604,4.424845420428604,True,True,True
ChIJeyYJ7-bGhkcR32WFx77-Al4:24067035,ChIJeyYJ7-bGhkcR32WFx77-Al4,24067035,9.143288931732586,9.143288931732586,9.143288931732586,True,True,True
ChIJxZvvnU_DhkcRbKvk-ty9ayw:20094592,ChIJxZvvnU_DhkcRbKvk-ty9ayw,20094592,41.53738720291535,41.53738720291535,41.53738720291535,True,True,True
ChIJA3NXfvnGhkcR9m0IaH6L7R4:2367956,ChIJA3NXfvnGhkcR9m0IaH6L7R4,2367956,6.736899554419098,6.736899554419098,6.736899554419098,True,True,True
ChIJQw4X7SvBhkcRmKmONNkdSbI:2063997,ChIJQw4X7SvBhkcRmKmONNkdSbI,2063997,19.66655518962317,19.66655518962317,19.66655518962317,True,True,True
ChIJP4V-BuLDhkcROuVQTRQJuxA:13173287,ChIJP4V-BuLDhkcROuVQTRQJuxA,13173287,33.090797945631046,33.090797945631046,33.090797945631046,True,True,True
ChIJ-aSFUc7GhkcRdAUHAGu1cd0:716412,ChIJ-aSFUc7GhkcRdAUHAGu1cd0,716412,5.041624184059947,5.041624184059947,5.041624184059947,True,True,True
ChIJtwbSk-PAhkcRDzmA3ZTtm0w:25178267,ChIJtwbSk-PAhkcRDzmA3ZTtm0w,25178267,26.9155139821623,26.9155139821623,26.9155139821623,True,True,True
ChIJJbYx-ebHhkcR3n8Ky8ln6JE:27223225,ChIJJbYx-ebHhkcR3n8Ky8ln6JE,27223225,3.8517154109695775,3.8517154109695775,3.8517154109695775,True,True,True
ChIJTcWCUpfGhkcR_OP8HB375N8:15664192,ChIJTcWCUpfGhkcR_OP8HB375N8,15664192,14.610656975555221,14.610656975555221,14.610656975555221,True,True,True
ChIJlSHLTADBhkcRXetqFKQWmGE:26722761,ChIJlSHLTADBhkcRXetqFKQWmGE,26722761,1.0756593125907938,1.0756593125907938,1.0756593125907938,True,True,True
ChIJm9dueq7GhkcRYD_anjS4diQ:2370364,ChIJm9dueq7GhkcRYD_anjS4diQ,2370364,15.785518329948449,15.785518329948449,15.785518329948449,True,True,True
ChIJaXk07X7FhkcRFX6XOVKoOg4:25579065,ChIJaXk07X7FhkcRFX6XOVKoOg4,25579065,4.656528378111159,4.656528378111159,4.656528378111159,True,True,True
ChIJJaSrlM7DhkcRx9_EJVJjZnQ:28085363,ChIJJaSrlM7DhkcRx9_EJVJjZnQ,28085363,87.08491054059616,87.08491054059616,,False,True,True
ChIJLdE4h93HhkcRSBmfsI2oZ2k:28134342,ChIJLdE4h93HhkcRSBmfsI2oZ2k,28134342,5.8053362446583,5.8053362446583,,True,True,True
ChIJCfxaklTDhkcR-K5-sH4o5EQ:17469785,ChIJCfxaklTDhkcR-K5-sH4o5EQ,17469785,7.827915518831558,7.827915518831558,7.827915518831558,True,True,True
ChIJdex8C2LGhkcRn-7s1qWc1rs:5570617,ChIJdex8C2LGhkcRn-7s1qWc1rs,5570617,3.103684161716912,3.103684161716912,3.103684161716912,True,True,True
ChIJSwW75uvGhkcRgVN6Q6a_g0I:20974096,ChIJSwW75uvGhkcRgVN6Q6a_g0I,20974096,2.067735555330817,2.067735555330817,2.067735555330817,True,True,True
