postal_code,restaurants,mean_platform_count,pct_on_tripadvisor,pct_on_thefork,pct_google_website,mean_google_photos
20121,591,1.71,56.2,14.9,66.7,8.1
20123,573,1.64,52.7,11.0,63.9,8.7
20154,572,1.63,48.8,14.3,51.0,8.4
20124,509,1.69,52.7,16.7,61.5,8.8
20122,465,1.58,48.6,9.9,54.6,8.0
20129,392,1.66,53.6,12.8,68.4,9.1
20135,353,1.64,49.3,14.7,66.6,8.9
20099,291,1.0,0.0,0.0,50.2,8.4
20159,288,1.75,58.7,16.7,59.7,8.9
20144,287,1.86,69.3,17.1,72.5,9.4
20090,270,1.01,0.4,0.4,41.5,7.4
20127,248,1.52,46.8,5.2,46.8,8.7
20136,245,1.59,46.1,13.1,51.4,8.5
20143,233,1.63,52.4,10.7,55.4,8.5
20146,222,1.58,45.9,11.7,47.3,8.3
20131,217,1.63,51.2,11.5,54.4,8.9
20151,185,1.37,32.4,4.3,45.9,7.9
20141,176,1.51,40.3,10.2,46.0,8.0
20133,174,1.61,53.4,7.5,54.6,9.5
20149,172,1.58,46.5,11.6,57.0,8.6
20139,170,1.56,48.2,7.6,50.6,8.1
20161,150,1.29,26.0,2.7,30.0,7.1
20125,147,1.65,53.1,12.2,47.6,8.5
20142,140,1.48,37.1,10.7,44.3,7.2
20147,138,1.33,29.0,3.6,33.3,7.6
20138,137,1.32,30.7,1.5,40.1,7.0
20126,131,1.55,45.8,9.2,61.1,9.0
20145,130,1.63,50.8,12.3,73.1,8.8
20158,129,1.5,39.5,10.1,48.8,8.9
20156,124,1.37,31.5,5.6,45.2,8.2
20094,121,1.0,0.0,0.0,34.7,7.7
20162,117,1.36,29.9,6.0,41.0,7.5
20148,116,1.46,37.9,7.8,39.7,9.3
20054,115,1.0,0.0,0.0,41.7,7.8
20089,113,1.0,0.0,0.0,45.1,8.0
20137,113,1.43,36.3,7.1,39.8,7.1
20132,108,1.44,38.9,5.6,35.2,8.2
20097,107,1.01,0.9,0.0,52.3,8.5
20157,105,1.17,14.3,2.9,19.0,6.0
20134,105,1.44,38.1,5.7,59.0,8.4
20155,96,1.44,39.6,4.2,46.9,8.7
20091,95,1.0,0.0,0.0,29.5,7.2
20128,94,1.44,38.3,5.3,38.3,7.8
20152,94,1.22,20.2,2.1,38.3,7.7
20153,86,1.34,27.9,5.8,33.7,7.9
20026,73,1.01,0.0,1.4,50.7,8.0
20068,66,1.0,0.0,0.0,54.5,8.1
20032,54,1.0,0.0,0.0,31.5,7.4
20057,52,1.02,0.0,1.9,69.2,8.0
20098,49,1.0,0.0,0.0,40.8,7.2
20021,44,1.0,0.0,0.0,45.5,7.3
20095,41,1.0,0.0,0.0,51.2,8.7
20093,35,1.0,0.0,0.0,60.0,8.7
20092,34,1.0,0.0,0.0,61.8,8.8
20016,32,1.0,0.0,0.0,43.8,8.7
