postal_code,restaurants,mean_platform_count,pct_on_tripadvisor,pct_on_thefork,pct_has_website,pct_has_cuisine,median_google_reviews
20121,591,1.71,56.2,14.9,73.3,52.5,326.0
20123,573,1.64,52.7,11.0,71.9,46.1,292.0
20154,571,1.63,48.9,14.4,60.1,42.2,203.0
20124,509,1.69,52.7,16.7,69.9,49.7,317.0
20122,464,1.59,48.7,9.9,65.1,42.5,137.0
20129,392,1.66,53.6,12.8,76.3,48.2,270.0
20135,353,1.64,49.3,14.7,71.4,44.8,247.0
20159,288,1.75,58.7,16.7,68.1,53.5,278.0
20144,287,1.86,69.3,17.1,83.6,63.1,339.0
20127,248,1.52,46.8,5.2,59.7,35.1,146.0
20136,245,1.59,46.1,13.1,60.8,42.4,166.0
20143,233,1.63,52.4,10.7,62.7,41.6,246.0
20146,222,1.58,45.9,11.7,58.6,38.7,152.0
20131,217,1.63,51.2,11.5,64.5,43.8,253.0
20151,185,1.37,32.4,4.3,55.1,26.5,148.0
20141,175,1.5,40.0,10.3,53.7,36.6,142.0
20133,174,1.61,53.4,7.5,67.8,45.4,242.0
20149,171,1.58,46.8,11.7,65.5,43.3,234.0
20139,169,1.56,48.5,7.7,58.6,39.6,132.0
20161,149,1.29,26.2,2.7,37.6,24.2,73.0
20125,146,1.66,53.4,12.3,63.0,46.6,231.0
20142,138,1.48,37.0,10.9,49.3,32.6,102.0
20147,137,1.33,29.2,3.6,43.1,22.6,108.0
20138,135,1.33,31.1,1.5,45.9,22.2,97.0
20126,130,1.55,46.2,9.2,70.0,37.7,222.0
20145,130,1.63,50.8,12.3,78.5,48.5,311.0
20158,129,1.5,39.5,10.1,56.6,34.9,152.0
20156,124,1.37,31.5,5.6,51.6,26.6,105.0
20162,117,1.36,29.9,6.0,48.7,28.2,97.0
20148,116,1.46,37.9,7.8,50.9,36.2,180.0
20137,113,1.43,36.3,7.1,45.1,30.1,71.0
20132,108,1.44,38.9,5.6,46.3,26.9,107.0
20157,105,1.17,14.3,2.9,23.8,8.6,26.0
20134,103,1.45,38.8,5.8,62.1,33.0,110.0
20155,96,1.44,39.6,4.2,55.2,27.1,122.0
20128,94,1.44,38.3,5.3,48.9,27.7,128.0
20152,92,1.23,20.7,2.2,43.5,16.3,119.0
20153,84,1.33,27.4,6.0,40.5,26.2,126.0
